time,content,author_id,novel
2015-05-27 16:00:00,"
Blest pair of Sirens, pledges of Heav'ns joy, Sphear-born harmonious Sisters, Voice, and Vers, Wed your divine sounds, and mixt power employ Dead things with inbreath'd sense able to pierce, And to our high-rais'd phantasie present, That undisturbèd Song of pure content, Ay sung before the saphire-colour'd throne To him that sits theron With Saintly shout, and solemn Jubily, Where the bright Seraphim in burning row Their loud up-lifted Angel trumpets blow, And the Cherubick host in thousand quires Touch their immortal Harps of golden wires, With those just Spirits that wear victorious Palms, Hymns devout and holy Psalms Singing everlastingly; That we on Earth with undiscording voice May rightly answer that melodious noise; As once we did, till disproportion'd sin Jarr'd against natures chime, and with harsh din Broke the fair musick that all creatures made To their great Lord, whose love their motion sway’d In perfect Diapason, whilst they stood In first obedience, and their state of good. O may we soon again renew that Song And keep in tune with Heav'n, till God ere long To his celestial consort us unite, To live with him, and sing in endles morn of light.",10,1
2015-05-28 18:00:00,"
Here a little child I stand Heaving up my either hand; Cold as paddocks though they be, Here I lift them up to Thee, For a benison to fall On our meat, and on us all. Amen.",3,1
2015-05-29 21:00:00,"
Bright star, would I were stedfast as thou art— Not in lone splendour hung aloft the night And watching, with eternal lids apart, Like nature's patient, sleepless Eremite, The moving waters at their priestlike task Of pure ablution round earth's human shores, Or gazing on the new soft-fallen mask Of snow upon the mountains and the moors— No—yet still stedfast, still unchangeable, Pillow'd upon my fair love's ripening breast, To feel for ever its soft fall and swell, Awake for ever in a sweet unrest, Still, still to hear her tender-taken breath, And so live ever—or else swoon to death.",16,1
2015-06-05 22:00:00,"
I have been one acquainted with the night. I have walked out in rain—and back in rain. I have outwalked the furthest city light. I have looked down the saddest city lane. I have passed by the watchman on his beat And dropped my eyes, unwilling to explain. I have stood still and stopped the sound of feet When far away an interrupted cry Came over houses from another street, But not to call me back or say good-bye; And further still at an unearthly height, One luminary clock against the sky Proclaimed the time was neither wrong nor right. I have been one acquainted with the night.",28,1
2015-06-06 20:00:00,"
I’m all alone in this world, she said, Ain’t got nobody to share my bed, Ain’t got nobody to hold my hand— The truth of the matter’s I ain’t got no man. Big Boy opened his mouth and said, Trouble with you is You ain’t got no head! If you had a head and used your mind You could have me with you All the time. She answered, Babe, what must I do? He said, Share your bed—And your money, too.",30,1
2015-06-09 17:00:00,"
Through the black, rushing smoke-bursts, Thick breaks the red flame; All Etna heaves fiercely Her forest-clothed frame. Not here, O Apollo! Are haunts meet for thee. But, where Helicon breaks down In cliff to the sea, Where the moon-silver'd inlets Send far their light voice Up the still vale of Thisbe, O speed, and rejoice! On the sward at the cliff-top Lie strewn the white flocks, On the cliff-side the pigeons Roost deep in the rocks. In the moonlight the shepherds, Soft lull'd by the rills, Lie wrapped in their blankets Asleep on the hills. —What forms are these coming So white through the gloom? What garments out-glistening The gold-flower'd broom? What sweet-breathing presence Out-perfumes the thyme? What voices enrapture The night's balmy prime? 'Tis Apollo comes leading His choir, the Nine. —The leader is fairest, But all are divine. They are lost in the hollows! They stream up again! What seeks on this mountain The glorified train?— They bathe on this mountain, In the spring by their road; Then on to Olympus, Their endless abode. —Whose proase do they mention? Of what is it told?— What will be for ever; What was from of old. First hymn they the Father Of all things; and then, The rest of immortals, The action of men. The day in his hotness, The strife with the palm; The night in her silence, The stars in their calm.",1,1
2015-06-10 13:00:00,"
Light was on its wayfrom nothingto nowhere.Light was all business Light was full speedwhen it got interrupted.Interrupted by what?When it got tangled upand brokeinto opposite broke into brand new things. What kinds of things? Drinking Cup “Thinking of you! Convenience Valet”How could speed take shape? *Hush!Do you want me to start over? * The fading laser pulse Information describing the fading laser pulseis stored is encodedin the spin statesof atoms.God is balancing his checkbook God is encrypting his account.This is taking forever!",24,1
2015-06-10 21:00:00,"
I burned my life, that I might find A passion wholly of the mind, Thought divorced from eye and bone, Ecstasy come to breath alone. I broke my life, to seek relief From the flawed light of love and grief. With mounting beat the utter fire Charred existence and desire. It died low, ceased its sudden thresh. I had found unmysterious flesh— Not the mind’s avid substance—still Passionate beyond the will.",21,1
2015-06-11 14:00:00,"
They christened my brother of old— And a saintly name he bears— They gave him his place to hold At the head of the belfry-stairs, Where the minster-towers stand And the breeding kestrels cry. Would I change with my brother a league inland?(Shoal! ’Ware shoal!) Not I ! In the flush of the hot June prime, O’er sleek flood-tides afire, I hear him hurry the chime To the bidding of checked Desire; Till the sweated ringers tire And the wild bob-majors die. Could I wait for my turn in the godly choir?(Shoal! ’Ware shoal!) Not I! When the smoking scud is blown— When the greasy wind-rack lowers— Apart and at peace and alone, He counts the changeless hours. He wars with darkling Powers (I war with, a darkling sea); Would he stoop to my work in the gusty mirk?(Shoal! ’Ware shoal!) Not he! There was never a priest to pray, There was never a hand to toll, When they made me guard of the bay, And moored me over the shoal. I rock, I reel, and I roll— My four great hammers ply— Could I speak or be still at the Church’s will?(Shoal! ’Ware shoal!) Not I! The landward marks have failed, The fog-bank glides unguessed, The seaward lights are veiled, The spent deep feigns her rest: But my ear is laid to her breast, I lift to the swell—I cry! Could I wait in sloth on the Church’s oath?(Shoal! ’Ware shoal!) Not I! At the careless end of night I thrill to the nearing screw; I turn in the clearing light And I call to the drowsy crew; And the mud boils foul and blue As the blind bow backs away. Will they give me their thanks if they clear the banks?(Shoal! ’Ware shoal!) Not they! The beach-pools cake and skim, The bursting spray-heads freeze, I gather on crown and rim The grey, grained ice of the seas, Where, sheathed from bitt to trees, The plunging colliers lie. Would I barter my place for the Church’s grace?(Shoal! ’Ware shoal!) Not I! Through the blur of the whirling snow, Or the black of the inky sleet, The lanterns gather and grow, And I look for the homeward fleet. Rattle of block and sheet— ‘Ready about—stand by!’ Shall I ask them a fee ere they fetch the quay?(Shoal! ’Ware shoal!) Not I! I dip and I surge and I swing In the rip of the racing tide, By the gates of doom I sing, On the horns of death I ride. A ship-length overside, Between the course and the sand, Fretted and bound I bide Peril whereof I cry. Would I change with my brother a league inland?(Shoal! ’Ware shoal!) Not I!",32,1
2015-06-13 20:00:00,"
Ah Sun-flower! weary of time, Who countest the steps of the Sun: Seeking after that sweet golden clime Where the travellers journey is done. Where the Youth pined away with desire, And the pale Virgin shrouded in snow: Arise from their graves and aspire, Where my Sun-flower wishes to go.",20,1
